Error,Epoch
23.025835661401747,0
23.025755052504433,1
23.025562021037995,2
23.025221366037165,3
23.024688872874435,4
23.02390915421483,5
23.022812974289504,6
23.021313941612487,7
23.01930442096595,8
23.016650480155516,9
23.013185643713353,10
23.008703172408033,11
23.002946521897456,12
22.995597556681798,13
22.986261997535834,14
22.9744514704153,15
22.959561403688983,16
22.94084387812042,17
22.9173743273398,18
22.888010973437115,19
22.851345848641568,20
22.805647810282643,21
22.748754271827057,22
22.678081436633594,23
22.59043930500118,24
22.4819458607305,25
22.347927497457807,26
22.182798954385227,27
21.97996700728708,28
21.73177587227836,29
21.429532334021463,30
21.063664085503113,31
20.62407988127718,32
20.10080838886467,33
19.484982760401415,34
18.770194140739775,35
17.95414404349052,36
17.04037919382647,37
16.03971915445965,38
14.970856926324112,39
13.859629528904046,40
12.7367053728555,41
11.633904484422878,42
10.579893926660915,43
9.596326853456024,44
8.695423128971576,45
7.879530589721873,46
7.14257531486948,47
6.472788779588767,48
5.855872782444051,49
5.2778476556598655,50
4.727118926329547,51
4.195640668797971,52
3.679316513723415,53
3.1778849928125834,54
2.694486869529875,55
2.2349856481333306,56
1.8070183246847649,57
1.4187670509569044,58
1.0775569825977713,59
0.7885202531744809,60
0.5536246202065,61
0.37130075260524464,62
0.23674071964812304,63
0.14275551434639208,64
0.0809444537896986,65
0.04288295563250266,66
0.021077020331913596,67
0.009535600840626985,68
0.003936615606392637,69
0.0014687870112518797,70
0.0004900600445737997,71
0.00014451810090409874,72
3.718946800844194e-05,73
8.237648860299359e-06,74
1.5515718480512093e-06,75
2.507242279342974e-07,76
4.180425095841114e-08,77
